사업코드,사업구분,사업명,X좌표,Y좌표
GG2007B006,산업입지 및 산업단지,대덕연구개발특구 1단계 개발사업,986149.9113,1820627.731
GG2008B001,산업입지 및 산업단지,탄천일반산업단지 조성사업,960583.836,1811724.977
ND2008B009,산업입지 및 산업단지,울산 High Tech Valley 조성사업,1144291.794,1726205.844
ND2008B007,산업입지 및 산업단지,산막일반산업단지 조성사업,1142008.804,1709417.552
GG2008B004,산업입지 및 산업단지,송산일반산업단지(재협의),928436.8243,1888041.766
JJ2009B003,산업입지 및 산업단지,부안 제2 농공단지 조성사업,929834.3046,1749088.4
YS2009B005,산업입지 및 산업단지,대양일반산업단지 조성사업,899276.874,1649378.774
HG2008B004,산업입지 및 산업단지,평택 고덕국제화계획지구 일반산업단지,960467.4094,1892749.608
ND2009B017,산업입지 및 산업단지,명례일반산업단지 조성사업,1159478.067,1709707.878
ND2009B009,산업입지 및 산업단지,안정일반산업단지 조성사업,1084913.547,1660882.572
DG2009L001,산업입지 및 산업단지,영양풍력발전단지 건설사업,1155246.527,1842634.12
ND2009B015,산업입지 및 산업단지,춘화농공단지 조성사업,1111174.095,1726686.085
ND2009B016,산업입지 및 산업단지,석강 제2농공단지조성사업,1048009.293,1743335.467
ME2009B001,산업입지 및 산업단지,대구사이언스파크 개발사업,1082621.037,1739291.177
GG2008B010,산업입지 및 산업단지,진천산업단지 조성사업(신척),998703.5743,1880472.882
ME2009B002,산업입지 및 산업단지,구미 하이테크밸리 개발사업(5산단),1082748.548,1800282.081
ND2008B017,산업입지 및 산업단지,울산 KCC일반산업단지 조성사업,1152913.172,1745934.702
ND2008B019,산업입지 및 산업단지,"석대1,2지구 도시첨단산업단지 조성사업",1147673.974,1693544.283
GG2008B014,산업입지 및 산업단지,영동일반산업단지 조성사업,1028034.068,1810376.998
GG2008B015,산업입지 및 산업단지,청산산업단지 조성사업,1026259.174,1814895.778
ND2008B015,산업입지 및 산업단지,온산국가산업단지 강양ㆍ우봉 1ㆍ2지구 조성사업,1167791.787,1713693.933
ND2009B001,산업입지 및 산업단지,두동 일반산업단지 조성사업,1154489.965,1747264.213
DG2009B007,산업입지 및 산업단지,대구출판산업단지 개발사업,1092500.587,1760604.166
ND2008B028,산업입지 및 산업단지,수정일반산업단지 조성사업,1098835.277,1680853.087
GG2008B007,산업입지 및 산업단지,천안제5일반산업단지 조성사업,978408.2786,1860183.072
HG2009B001,산업입지 및 산업단지,덕포일반산업단지 조성사업,1085124.87,1659279.479
HG2009B003,산업입지 및 산업단지,전곡해양산업단지(화성 해양복합 산업단지 조성사업),926410.013,1910230.521
ND2009B013,산업입지 및 산업단지,함안 부목일반산업단지 조성사업,1087851.176,1707331.623
ND2009B018,산업입지 및 산업단지,칠서 태곡일반산업단지 조성사업,1088783.238,1706396.122
ND2009B004,산업입지 및 산업단지,밀양 하남일반산업단지 조성사업,1110993.55,1710864.853
ND2010B001,산업입지 및 산업단지,장기일반산업단지 조성사업,1083476.275,1671867.232
JJ2009B002,산업입지 및 산업단지,무주 제2농공단지 조성사업,1013507.333,1778078.065
GG2009B008,산업입지 및 산업단지,합덕순성 테크노폴리스,933264.1335,1870193.122
ND2009B021,산업입지 및 산업단지,반천일반산업단지 조성사업,1149395.693,1730798.404
YS2009B013,산업입지 및 산업단지,신안조선타운 일반산업단지 조성사업,891978.3633,1654721.927
WJ2009B003,산업입지 및 산업단지,호산일반산업단지 개발사업,1164025.964,1909385.13
ND2010B020,산업입지 및 산업단지,그린인더스트리얼컴플렉스 조성사업,1164185.613,1712973.223
JJ2010B003,산업입지 및 산업단지,남원 노암 제3농공단지 조성사업,988959.7128,1710344.377
DG2011B003,산업입지 및 산업단지,김천1 일반산업단지(2단계) 조성사업 개발계획(변경)(구.김천2 일반산업단지 조성사업),1056938.283,1796632.374
WJ2012B002,산업입지 및 산업단지,봉명 일반산업단지 조성사업(동춘천 일반산업단지),1024399.065,1974106.113
GG2011B005,산업입지 및 산업단지,오송 제2생명과학단지 조성사업,982969.0627,1847232.721
ME2012B001,산업입지 및 산업단지,국가식품클러스터 산업단지 개발사업,962570.9009,1775637.696
WJ2012B001,산업입지 및 산업단지,충주메가폴리스 일반산업단지,1028318.323,1888230.863
YS2012B008,산업입지 및 산업단지,해룡산업단지 조성사업-재협의,1005825.004,1657357.74
YS2012B002,산업입지 및 산업단지,동면 제2농공단지 조성사업-재협의,956914.9645,1669836.843
HG2011B003,산업입지 및 산업단지,강화일반산업단지 조성사업,911770.1551,1974319.02
YS2012B011,산업입지 및 산업단지,광양 세풍일반산업단지 조성사업,1008014.599,1659559.321
DG2012B016,산업입지 및 산업단지,경산지식산업지구 개발사업,1119350.8,1772429.277
YS2012B015,산업입지 및 산업단지,율촌 제Ⅱ산업단지 조성사업,1011969.978,1650310.471
GG2012B007,산업입지 및 산업단지,국제과학비지니스벨트 거점지구(대덕연구개발특구 2단계),991707.8353,1821763.186
WJ2014B001,산업입지 및 산업단지,충주메가폴리스 일반산업단지 조성사업(재협의),1028318.323,1888230.863
DG2014B001,산업입지 및 산업단지,경산4 일반산업단지 조성사업,1121168.301,1764115.95
DG2014B004,산업입지 및 산업단지,고령 오곡일반산업단지 조성사업,1081478.958,1749408.243
YS2015K002,산업입지 및 산업단지,대나무 바이오단지 조성사업,952457.6029,1701625.311
YS2015B004,산업입지 및 산업단지,여수국가산업단지내 공장증설사업(여천NCC㈜),1015390.842,1646756.288
